"Anzahl der Hitzetage (Tagesthöchsttemperatur über 30°C) und Eistage (Tagesthöchsttemperatur unter 0°C) seit 1955 -  Wien | Absolute Heatdays (highest day temperature above 30°C) and ""Icedays"" (highest day temperatur below 0°C) since 1955 - Vienna";;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;NUM_HEAT;NUM_ICE;;;;;;;;
AT13;90000;90000;1955;1955;1;25;;;;;;;;
AT13;90000;90000;1956;1956;3;46;;;;;;;;
AT13;90000;90000;1957;1957;10;20;;;;;;;;
AT13;90000;90000;1958;1958;9;11;;;;;;;;
AT13;90000;90000;1959;1959;5;17;;;;;;;;
AT13;90000;90000;1960;1960;2;20;;;;;;;;
AT13;90000;90000;1961;1961;11;29;;;;;;;;
AT13;90000;90000;1962;1962;14;25;;;;;;;;
AT13;90000;90000;1963;1963;17;63;;;;;;;;
AT13;90000;90000;1964;1964;17;42;;;;;;;;
AT13;90000;90000;1965;1965;5;18;;;;;;;;
AT13;90000;90000;1966;1966;2;23;;;;;;;;
AT13;90000;90000;1967;1967;17;14;;;;;;;;
AT13;90000;90000;1968;1968;10;30;;;;;;;;
AT13;90000;90000;1969;1969;6;44;;;;;;;;
AT13;90000;90000;1970;1970;4;31;;;;;;;;
AT13;90000;90000;1971;1971;15;30;;;;;;;;
AT13;90000;90000;1972;1972;13;27;;;;;;;;
AT13;90000;90000;1973;1973;9;12;;;;;;;;
AT13;90000;90000;1974;1974;11;3;;;;;;;;
AT13;90000;90000;1975;1975;0;6;;;;;;;;
AT13;90000;90000;1976;1976;8;19;;;;;;;;
AT13;90000;90000;1977;1977;2;23;;;;;;;;
AT13;90000;90000;1978;1978;2;18;;;;;;;;
AT13;90000;90000;1979;1979;6;18;;;;;;;;
AT13;90000;90000;1980;1980;4;28;;;;;;;;
AT13;90000;90000;1981;1981;11;17;;;;;;;;
AT13;90000;90000;1982;1982;6;30;;;;;;;;
AT13;90000;90000;1983;1983;21;15;;;;;;;;
AT13;90000;90000;1984;1984;8;15;;;;;;;;
AT13;90000;90000;1985;1985;11;39;;;;;;;;
AT13;90000;90000;1986;1986;13;36;;;;;;;;
AT13;90000;90000;1987;1987;5;38;;;;;;;;
AT13;90000;90000;1988;1988;19;8;;;;;;;;
AT13;90000;90000;1989;1989;4;12;;;;;;;;
AT13;90000;90000;1990;1990;16;14;;;;;;;;
AT13;90000;90000;1991;1991;12;21;;;;;;;;
AT13;90000;90000;1992;1992;28;10;;;;;;;;
AT13;90000;90000;1993;1993;15;31;;;;;;;;
AT13;90000;90000;1994;1994;28;10;;;;;;;;
AT13;90000;90000;1995;1995;15;21;;;;;;;;
AT13;90000;90000;1996;1996;6;49;;;;;;;;
AT13;90000;90000;1997;1997;3;20;;;;;;;;
AT13;90000;90000;1998;1998;20;20;;;;;;;;
AT13;90000;90000;1999;1999;9;21;;;;;;;;
AT13;90000;90000;2000;2000;26;17;;;;;;;;
AT13;90000;90000;2001;2001;21;15;;;;;;;;
AT13;90000;90000;2002;2002;18;24;;;;;;;;
AT13;90000;90000;2003;2003;40;22;;;;;;;;
AT13;90000;90000;2004;2004;9;20;;;;;;;;
AT13;90000;90000;2005;2005;12;25;;;;;;;;
AT13;90000;90000;2006;2006;22;23;;;;;;;;
AT13;90000;90000;2007;2007;22;16;;;;;;;;
AT13;90000;90000;2008;2008;8;8;;;;;;;;
AT13;90000;90000;2009;2009;14;25;;;;;;;;
AT13;90000;90000;2010;2010;15;35;;;;;;;;
AT13;90000;90000;2011;2011;18;12;;;;;;;;
AT13;90000;90000;2012;2012;31;19;;;;;;;;
AT13;90000;90000;2013;2013;26;17;;;;;;;;
AT13;90000;90000;2014;2014;13;10;;;;;;;;
AT13;90000;90000;2015;2015;42;2;;;;;;;;
AT13;90000;90000;2016;2016;20;13;;;;;;;;
AT13;90000;90000;2017;2017;38;21;;;;;;;;
AT13;90000;90000;2018;2018;37;13;;;;;;;;
AT13;90000;90000;2019;2019;38;3;;;;;;;;
AT13;90000;90000;2020;2020;21;3;;;;;;;;
AT13;90000;90000;2021;2021;24;7;;;;;;;;
